"name","unicode","bytes","emojiid","emoji","rencoding"
"grinning face with smiling eyes","U+1F601","\xF0\x9F\x98\x81",1,"😁","<ed><a0><bd><ed><b8><81>"
"face with tears of joy","U+1F602","\xF0\x9F\x98\x82",2,"😂","<ed><a0><bd><ed><b8><82>"
"smiling face with open mouth","U+1F603","\xF0\x9F\x98\x83",3,"😃","<ed><a0><bd><ed><b8><83>"
"smiling face with open mouth and smiling eyes","U+1F604","\xF0\x9F\x98\x84",4,"😄","<ed><a0><bd><ed><b8><84>"
"smiling face with open mouth and cold sweat","U+1F605","\xF0\x9F\x98\x85",5,"😅","<ed><a0><bd><ed><b8><85>"
"smiling face with open mouth and tightly-closed eyes","U+1F606","\xF0\x9F\x98\x86",6,"😆","<ed><a0><bd><ed><b8><86>"
"winking face","U+1F609","\xF0\x9F\x98\x89",7,"😉","<ed><a0><bd><ed><b8><89>"
"smiling face with smiling eyes","U+1F60A","\xF0\x9F\x98\x8A",8,"😊","<ed><a0><bd><ed><b8><8a>"
"face savouring delicious food","U+1F60B","\xF0\x9F\x98\x8B",9,"😋","<ed><a0><bd><ed><b8><8b>"
"relieved face","U+1F60C","\xF0\x9F\x98\x8C",10,"😌","<ed><a0><bd><ed><b8><8c>"
"smiling face with heart-shaped eyes","U+1F60D","\xF0\x9F\x98\x8D",11,"😍","<ed><a0><bd><ed><b8><8d>"
"smirking face","U+1F60F","\xF0\x9F\x98\x8F",12,"😏","<ed><a0><bd><ed><b8><8f>"
"unamused face","U+1F612","\xF0\x9F\x98\x92",13,"😒","<ed><a0><bd><ed><b8><92>"
"face with cold sweat","U+1F613","\xF0\x9F\x98\x93",14,"😓","<ed><a0><bd><ed><b8><93>"
"pensive face","U+1F614","\xF0\x9F\x98\x94",15,"😔","<ed><a0><bd><ed><b8><94>"
"confounded face","U+1F616","\xF0\x9F\x98\x96",16,"😖","<ed><a0><bd><ed><b8><96>"
"face throwing a kiss","U+1F618","\xF0\x9F\x98\x98",17,"😘","<ed><a0><bd><ed><b8><98>"
"kissing face with closed eyes","U+1F61A","\xF0\x9F\x98\x9A",18,"😚","<ed><a0><bd><ed><b8><9a>"
