"count","name","unicode","bytes","emojiid","emoji","rencoding","dens","dens.sm","rank"
1370,"american football","U+1F3C8","\xF0\x9F\x8F\x88",413,"🏈","<ed><a0><bc><ed><bf><88>",28,0.0279721706486034,1
587,"face with tears of joy","U+1F602","\xF0\x9F\x98\x82",2,"😂","<ed><a0><bd><ed><b8><82>",12,0.0119968171709546,2
295,"regional indicator symbol letter u + regional indicator symbol letter s","U+1F1FA U+1F1F8","\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8",145,"🇺🇸","<ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8>",6,0.0060392140860588,3
279,"heavy black heart","U+2764","\xE2\x9D\xA4",81,"❤","<e2><9d><a4>",5.7,0.00571277008140697,4
257,"clapping hands sign","U+1F44F","\xF0\x9F\x91\x8F",490,"👏","<ed><a0><bd><ed><b1><8f>",5.2,0.00526390957501071,5
244,"person raising both hands in celebration","U+1F64C","\xF0\x9F\x99\x8C",55,"🙌","<ed><a0><bd><ed><b9><8c>",5,0.0049986738212311,6
191,"smiling face with heart-shaped eyes","U+1F60D","\xF0\x9F\x98\x8D",11,"😍","<ed><a0><bd><ed><b8><8d>",3.9,0.00391732805582192,7
165,"fire","U+1F525","\xF0\x9F\x94\xA5",680,"🔥","<ed><a0><bd><ed><b4><a5>",3.4,0.00338685654826271,8
133,"thumbs up sign","U+1F44D","\xF0\x9F\x91\x8D",488,"👍","<ed><a0><bd><ed><b1><8d>",2.7,0.00273396853895905,9
125,"trophy","U+1F3C6","\xF0\x9F\x8F\x86",412,"🏆","<ed><a0><bc><ed><bf><86>",2.6,0.00257074653663314,10
125,"flexed biceps","U+1F4AA","\xF0\x9F\x92\xAA",578,"💪","<ed><a0><bd><ed><b2><aa>",2.6,0.00257074653663314,11
120,"loudly crying face","U+1F62D","\xF0\x9F\x98\xAD",32,"😭","<ed><a0><bd><ed><b8><ad>",2.4,0.00246873278517944,12
107,"eyes","U+1F440","\xF0\x9F\x91\x80",476,"👀","<ed><a0><bd><ed><b1><80>",2.2,0.00220349703139983,13
75,"smiling face with sunglasses","U+1F60E","\xF0\x9F\x98\x8E",723,"😎","<ed><a0><bd><ed><b8><8e>",1.5,0.00155060902209618,14
74,"ok hand sign","U+1F44C","\xF0\x9F\x91\x8C",487,"👌","<ed><a0><bd><ed><b1><8c>",1.5,0.00153020627180544,15
72,"green heart","U+1F49A","\xF0\x9F\x92\x9A",562,"💚","<ed><a0><bd><ed><b2><9a>",1.5,0.00148940077122396,16
71,"blue heart","U+1F499","\xF0\x9F\x92\x99",561,"💙","<ed><a0><bd><ed><b2><99>",1.4,0.00146899802093322,17
69,"grinning face with smiling eyes","U+1F601","\xF0\x9F\x98\x81",1,"😁","<ed><a0><bd><ed><b8><81>",1.4,0.00142819252035174,18
68,"goat","U+1F410","\xF0\x9F\x90\x90",805,"🐐","<ed><a0><bd><ed><b0><90>",1.4,0.001407789770061,19
66,"hundred points symbol","U+1F4AF","\xF0\x9F\x92\xAF",582,"💯","<ed><a0><bd><ed><b2><af>",1.3,0.00136698426947953,20
61,"party popper","U+1F389","\xF0\x9F\x8E\x89",364,"🎉","<ed><a0><bc><ed><be><89>",1.2,0.00126497051802583,21
60,"person with folded hands","U+1F64F","\xF0\x9F\x99\x8F",58,"🙏","<ed><a0><bd><ed><b9><8f>",1.2,0.00124456776773509,22
55,"flushed face","U+1F633","\xF0\x9F\x98\xB3",36,"😳","<ed><a0><bd><ed><b8><b3>",1.1,0.00114255401628139,23
53,"winking face","U+1F609","\xF0\x9F\x98\x89",7,"😉","<ed><a0><bd><ed><b8><89>",1.1,0.00110174851569992,24
51,"unamused face","U+1F612","\xF0\x9F\x98\x92",13,"😒","<ed><a0><bd><ed><b8><92>",1,0.00106094301511844,25
51,"face screaming in fear","U+1F631","\xF0\x9F\x98\xB1",34,"😱","<ed><a0><bd><ed><b8><b1>",1,0.00106094301511844,26
51,"two hearts","U+1F495","\xF0\x9F\x92\x95",557,"💕","<ed><a0><bd><ed><b2><95>",1,0.00106094301511844,27
48,"fisted hand sign","U+1F44A","\xF0\x9F\x91\x8A",485,"👊","<ed><a0><bd><ed><b1><8a>",1,0.00099973476424622,28
46,"weary face","U+1F629","\xF0\x9F\x98\xA9",29,"😩","<ed><a0><bd><ed><b8><a9>",0.9,0.000958929263664742,29
44,"multiple musical notes","U+1F3B6","\xF0\x9F\x8E\xB6",397,"🎶","<ed><a0><bc><ed><be><b6>",0.9,0.000918123763083264,30
43,"microphone","U+1F3A4","\xF0\x9F\x8E\xA4",379,"🎤","<ed><a0><bc><ed><be><a4>",0.9,0.000897721012792524,31
42,"clinking beer mugs","U+1F37B","\xF0\x9F\x8D\xBB",354,"🍻","<ed><a0><bc><ed><bd><bb>",0.9,0.000877318262501785,32
42,"rugby football","U+1F3C9","\xF0\x9F\x8F\x89",790,"🏉","<ed><a0><bc><ed><bf><89>",0.9,0.000877318262501785,33
38,"face with stuck-out tongue and winking eye","U+1F61C","\xF0\x9F\x98\x9C",19,"😜","<ed><a0><bd><ed><b8><9c>",0.8,0.000795707261338828,34
36,"smiling face with open mouth and smiling eyes","U+1F604","\xF0\x9F\x98\x84",4,"😄","<ed><a0><bd><ed><b8><84>",0.7,0.00075490176075735,35
36,"smiling face with smiling eyes","U+1F60A","\xF0\x9F\x98\x8A",8,"😊","<ed><a0><bd><ed><b8><8a>",0.7,0.00075490176075735,36
35,"smiling face with open mouth and tightly-closed eyes","U+1F606","\xF0\x9F\x98\x86",6,"😆","<ed><a0><bd><ed><b8><86>",0.7,0.000734499010466611,37
